postcode,latitude,longitude,city
S36,53.50302,-1.61249,Barnsley
S63,53.51794,-1.32879,Barnsley
S70,53.54114,-1.4733,Barnsley
S71,53.57342,-1.45629,Barnsley
S72,53.57851,-1.39127,Barnsley
S73,53.52458,-1.39355,Barnsley
S74,53.50053,-1.43913,Barnsley
S75,53.56201,-1.51985,Barnsley
BA1,51.39109,-2.35934,Bath and North East Somerset
BA2,51.35957,-2.37633,Bath and North East Somerset
BS31,51.4077,-2.49176,Bath and North East Somerset
BS39,51.32749,-2.53109,Bath and North East Somerset
BS40,51.34644,-2.69071,Bath and North East Somerset
MK40,52.13797,-0.47145,Bedford Borough
MK41,52.15113,-0.44614,Bedford Borough
MK42,52.12002,-0.47352,Bedford Borough
MK43,52.11837,-0.55684,Bedford Borough
MK44,52.19402,-0.42563,Bedford Borough
B1,52.47872,-1.90723,Birmingham
B10,52.46967,-1.8513,Birmingham
B11,52.4544,-1.85871,Birmingham
B12,52.45982,-1.88225,Birmingham
B13,52.43644,-1.8779,Birmingham
B14,52.41757,-1.88824,Birmingham
B15,52.46615,-1.92345,Birmingham
B16,52.47604,-1.93374,Birmingham
B17,52.46077,-1.96026,Birmingham
B18,52.49132,-1.92341,Birmingham
B19,52.4967,-1.90425,Birmingham
B2,52.47871,-1.89692,Birmingham
B20,52.51379,-1.91747,Birmingham
B21,52.50661,-1.93959,Birmingham
B23,52.52812,-1.85405,Birmingham
B24,52.51909,-1.82755,Birmingham
B25,52.46513,-1.8204,Birmingham
B26,52.46059,-1.78951,Birmingham
B27,52.44446,-1.82196,Birmingham
B28,52.4265,-1.84115,Birmingham
B29,52.43739,-1.94704,Birmingham
B3,52.48051,-1.90134,Birmingham
B30,52.42209,-1.92794,Birmingham
B31,52.40772,-1.97207,Birmingham
B32,52.44819,-1.99264,Birmingham
B33,52.48036,-1.78647,Birmingham
B34,52.49564,-1.78051,Birmingham
B35,52.51903,-1.78776,Birmingham
B38,52.39962,-1.93385,Birmingham
B4,52.48231,-1.89397,Birmingham
B42,52.53357,-1.91154,Birmingham
B44,52.54523,-1.88349,Birmingham
B45,52.38795,-2.00882,Birmingham
B5,52.46972,-1.89547,Birmingham
